ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_6_2         , 	661.252		, 	 275.98		, 	1.11545	,	[342.918, 565.387]
ROI_6_6         , 	552.155		, 	374.785		, 	8.28924	,	[86.6331, 545.317]
ROI_6_14        , 	544.337		, 	298.932		, 	3.30177	,	[167.56, 517.906]
ROI_6_23        , 	826.711		, 	364.846		, 	1.30827	,	[668.417, 486.488]
ROI_6_26        , 	729.991		, 	267.424		, 	1.27948	,	[556.161, 472.833]
ROI_6_27        , 	 747.23		, 	284.191		, 	1.54102	,	[580.049, 471.058]
ROI_6_50        , 	692.173		, 	232.351		, 	1.57662	,	[567.929, 395.677]
ROI_6_93        , 	757.537		, 	340.276		, 	1.10142	,	[701.258, 286.529]
ROI_6_95        , 	619.416		, 	 194.47		, 	1.34682	,	[554.909, 275.231]
ROI_6_157       , 	147.099		, 	 316.16		, 	1.17751	,	[110.581, 97.0042]
ROI_6_166       , 	73.3172		, 	393.119		, 	1.16703	,	[42.2364, 59.9291]
ROI_6_168       , 	639.342		, 	362.679		, 	1.57201	,	[636.997, 54.7094]
ROI_6_174       , 	716.699		, 	446.095		, 	1.10912	,	[716.409, 20.3982]

ROI_7_7         , 	622.242		, 	277.827		, 	1.44944	,	[279.91, 555.73]
ROI_7_10        , 	551.156		, 	375.991		, 	8.74419	,	[84.3797, 544.658]
ROI_7_12        , 	577.253		, 	300.956		, 	1.26321	,	[197.249, 542.507]
ROI_7_16        , 	649.842		, 	 235.21		, 	1.17394	,	[384.265, 524.057]
ROI_7_25        , 	830.802		, 	368.444		, 	1.46698	,	[666.284, 496.284]
ROI_7_29        , 	734.434		, 	272.247		, 	1.64328	,	[555.029, 480.974]
ROI_7_30        , 	751.569		, 	288.643		, 	1.40099	,	[578.936, 479.258]
ROI_7_41        , 	696.816		, 	236.135		, 	1.58482	,	[567.957, 403.704]
ROI_7_85        , 	763.966		, 	342.751		, 	1.55427	,	[703.669, 297.479]
ROI_7_91        , 	624.887		, 	196.148		, 	1.12295	,	[557.03, 283.198]
ROI_7_93        , 	524.914		, 	85.7812		, 	2.11699	,	[445.807, 277.111]
ROI_7_107       , 	591.212		, 	202.587		, 	1.63124	,	[549.962, 216.962]
ROI_7_109       , 	722.403		, 	336.209		, 	1.16203	,	[689.127, 216.726]
ROI_7_110       , 	 397.94		, 	80.1639		, 	1.44158	,	[335.5, 214]
ROI_7_138       , 	692.783		, 	351.652		, 	1.30166	,	[678.661, 139.167]
ROI_7_149       , 	151.689		, 	311.409		, 	1.24343	,	[116.425, 97.2349]
ROI_7_150       , 	574.009		, 	287.517		, 	3.74025	,	[567, 89.4253]
ROI_7_152       , 	645.416		, 	360.489		, 	1.22762	,	[642.192, 64.4275]
ROI_7_156       , 	 114.65		, 	351.502		, 	1.68726	,	[101.99, 52.3715]
ROI_7_158       , 	681.232		, 	409.935		, 	1.42876	,	[680.429, 33.0714]
ROI_7_165       , 	 237.64		, 	294.205		, 	1.82655	,	[236.481, 23.4453]
ROI_7_166       , 	 172.99		, 	335.019		, 	1.46769	,	[172.498, 13.0444]

ROI_8_0         , 	630.915		, 	 284.51		, 	1.34307	,	[283.35, 563.708]
ROI_8_2         , 	559.629		, 	379.049		, 	8.28894	,	[87.7534, 552.706]
ROI_8_6         , 	761.562		, 	305.993		, 	1.12002	,	[535.961, 541.039]
ROI_8_9         , 	553.588		, 	304.699		, 	3.6921	,	[169.5, 527]
ROI_8_21        , 	741.512		, 	279.526		, 	1.17438	,	[558.227, 488.081]
ROI_8_22        , 	759.111		, 	296.279		, 	1.87279	,	[582.442, 486.837]
ROI_8_40        , 	703.942		, 	 242.77		, 	1.46182	,	[571.333, 411.233]
ROI_8_86        , 	769.532		, 	 345.99		, 	1.06277	,	[706.682, 304.596]
ROI_8_92        , 	631.532		, 	199.419		, 	1.16232	,	[560.416, 291.148]
ROI_8_134       , 	592.287		, 	252.534		, 	1.8036	,	[572.463, 151.955]
ROI_8_137       , 	697.735		, 	 351.68		, 	1.42518	,	[682.146, 146.667]
ROI_8_148       , 	158.942		, 	304.368		, 	1.19292	,	[119.218, 105.117]
ROI_8_153       , 	649.769		, 	359.096		, 	1.83801	,	[645.841, 71.3333]
