ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_4_216       , 	637.541		, 	  352.1		, 	1.57916	,	[633.95, 67.575]

ROI_5_33        , 	480.449		, 	182.784		, 	1.53152	,	[232.796, 420.283]
ROI_5_42        , 	410.818		, 	344.908		, 	1.71929	,	[37.3147, 409.12]
ROI_5_57        , 	400.843		, 	258.985		, 	1.963	,	[119.18, 382.716]
ROI_5_69        , 	717.736		, 	268.896		, 	2.12177	,	[620.362, 360.964]
ROI_5_90        , 	309.731		, 	327.763		, 	1.91998	,	[33.7259, 307.889]
ROI_5_94        , 	775.125		, 	356.028		, 	2.7972	,	[717, 294.5]
ROI_5_108       , 	586.706		, 	162.485		, 	1.20831	,	[521.974, 267.894]
ROI_5_161       , 	394.235		, 	110.952		, 	12.0929	,	[351, 179.5]
ROI_5_209       , 	204.175		, 	283.508		, 	2.86965	,	[195.137, 60.0735]

ROI_6_6         , 	687.096		, 	243.201		, 	2.62406	,	[456.197, 513.795]
ROI_6_7         , 	762.123		, 	301.284		, 	4.13229	,	[563.736, 512.868]
ROI_6_35        , 	490.066		, 	188.048		, 	1.17787	,	[235.313, 429.875]
ROI_6_43        , 	420.449		, 	345.191		, 	1.47821	,	[40.6114, 418.483]
ROI_6_53        , 	410.759		, 	259.282		, 	1.58844	,	[122.635, 392.025]
ROI_6_66        , 	725.071		, 	274.616		, 	1.64904	,	[623.857, 369.5]
ROI_6_82        , 	 391.94		, 	139.471		, 	1.59948	,	[225, 320.924]
ROI_6_89        , 	780.965		, 	359.218		, 	8.60773	,	[720, 302.5]
ROI_6_101       , 	593.898		, 	164.879		, 	1.32558	,	[525.362, 276.964]
ROI_6_125       , 	506.717		, 	107.615		, 	1.82222	,	[451, 231]
ROI_6_160       , 	682.844		, 	323.404		, 	1.81679	,	[661.333, 170.042]
ROI_6_198       , 	515.886		, 	 249.01		, 	2.28176	,	[508.132, 89.1062]
ROI_6_211       , 	248.118		, 	265.421		, 	7.92831	,	[242.5, 52.5]
ROI_6_217       , 	525.385		, 	307.484		, 	1.73889	,	[524.549, 29.6196]
ROI_6_221       , 	 528.87		, 	321.495		, 	2.39661	,	[528.638, 15.6708]

ROI_7_9         , 	507.736		, 	 308.36		, 	1.30081	,	[127.544, 491.456]
